jd1,jd2,jd3,jd4,jd5,jd6,ee1,ee2,ee3,ee4,ee5,ee6,dp1,dp2,dp3,dp4,dp5,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,ss1,ss2,ss3,ss4,ss5,ti1,ti2,ti3,ti4,ti5,ti6,gender,age,tenure,dept
2,2,4,2,4,2,3,4,3,3,4,4,4,2,3,4,3,5,5,5,1,5,5,1,5,4,5,4,5,4,3,3,2,2,3,2,1,24,29,5
,3,3,3,3,3,2,2,3,1,2,2,2,3,2,2,2,4,3,4,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,2,1,37,23,2
3,4,2,4,2,4,4,3,3,4,3,3,2,4,3,3,3,3,3,4,2,3,4,2,3,4,4,4,4,3,4,4,4,3,2,3,2,50,17,3
,3,2,4,2,3,5,5,5,5,5,5,4,2,3,,4,2,2,3,4,2,3,3,2,4,3,4,5,4,3,2,3,2,4,2,1,43,26,1
5,4,2,4,3,4,4,4,4,4,4,4,3,3,3,,2,2,2,2,4,2,2,3,2,3,2,2,3,3,3,4,4,4,2,4,2,21,24,2
3,4,3,4,3,4,4,3,4,4,3,3,3,4,3,2,3,4,4,4,2,4,4,1,4,3,3,3,,3,3,3,2,3,3,,2,53,7,3
2,2,3,2,4,2,4,3,4,4,4,3,3,3,3,3,4,4,3,4,3,4,4,3,3,2,2,2,2,3,3,3,2,3,3,3,2,47,6,5
2,2,5,2,4,2,4,4,,4,4,4,2,5,1,,1,4,4,4,2,3,4,2,4,3,4,3,3,3,5,4,5,5,2,5,1,54,30,1
4,4,2,4,2,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,1,4,4,2,4,3,2,3,3,3,3,3,3,3,3,3,2,55,23,1
2,1,5,2,4,2,4,4,3,4,4,4,3,4,3,4,4,3,4,4,2,3,4,2,3,4,4,4,5,5,3,3,3,3,3,3,2,30,14,2
5,5,1,5,1,5,4,4,4,4,3,4,5,2,4,4,4,4,5,4,,4,4,2,4,2,4,3,3,3,4,4,5,5,1,5,1,46,7,2
3,3,2,4,3,3,3,4,3,3,3,3,4,2,4,4,3,4,4,3,2,3,4,2,4,1,2,2,1,3,,3,3,4,3,3,2,50,9,1
3,4,2,5,2,4,4,4,5,4,4,4,4,2,4,4,4,2,2,,3,3,3,3,3,4,3,4,3,3,3,3,3,4,3,3,1,25,11,1
3,3,2,,2,4,3,3,4,,3,,3,3,3,3,3,5,5,5,1,5,5,1,5,4,,4,3,4,4,3,3,4,2,4,2,26,7,3
1,1,5,1,5,1,1,1,1,1,1,1,1,5,1,1,1,3,3,3,4,3,2,3,3,5,5,5,5,5,1,1,1,1,5,1,1,44,24,1
2,3,4,2,4,2,2,2,2,2,2,2,1,5,2,2,2,4,4,4,2,3,3,2,3,4,4,4,3,4,2,2,2,2,4,2,2,50,29,4
3,3,3,3,3,2,3,3,4,4,4,4,5,1,5,5,5,2,3,2,4,3,2,,2,3,3,3,3,3,3,3,3,3,4,3,1,43,9,5
3,3,1,4,2,4,3,3,3,3,3,2,1,5,1,1,1,2,1,2,5,2,2,4,1,3,2,2,3,3,5,5,5,5,2,5,2,22,22,4
3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,2,2,1,1,1,4,2,1,5,1,2,1,1,1,1,3,2,3,3,4,3,2,48,24,1
5,4,2,4,3,4,3,3,3,3,2,3,3,4,3,3,3,2,2,2,4,3,2,4,1,4,4,3,4,3,2,3,2,3,4,2,1,34,20,4
4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,4,3,2,4,2,3,3,3,2,3,3,3,4,3,3,1,21,16,4
3,3,3,3,3,3,2,2,2,2,2,2,4,3,3,4,4,4,3,4,2,4,4,2,3,3,3,3,3,3,2,2,2,3,4,2,1,55,20,5
5,5,1,5,1,5,4,4,3,4,4,4,3,3,4,4,4,4,4,4,2,4,4,2,4,4,4,5,5,5,4,4,4,4,2,4,1,30,30,2
3,4,3,4,2,3,3,3,3,3,3,3,3,4,3,3,3,1,,2,4,2,2,4,2,3,2,2,3,2,3,3,3,2,4,3,2,24,30,4
4,4,2,3,3,3,3,4,3,3,4,3,5,2,5,5,5,3,3,3,2,3,4,2,4,2,2,4,3,3,3,2,3,3,3,3,2,26,25,3
3,3,3,3,,4,2,2,3,3,3,2,1,4,1,1,1,3,3,3,3,4,4,3,4,3,3,,3,4,4,4,4,3,2,3,2,30,8,1
2,2,4,3,4,2,3,2,2,2,1,2,2,4,3,2,2,3,4,3,4,3,3,2,3,3,3,3,3,3,2,2,2,2,3,3,1,41,7,2
4,3,3,3,3,3,2,2,1,1,2,2,2,4,2,2,2,3,4,4,2,3,4,2,4,2,3,3,4,2,3,4,4,3,3,3,1,44,1,5
3,3,3,3,2,3,3,3,2,3,3,3,1,5,1,1,1,5,4,5,2,4,4,1,4,3,3,2,3,3,3,3,2,3,3,3,1,33,25,3
4,4,3,3,2,3,3,3,3,,2,3,1,5,2,2,2,4,3,4,3,4,4,2,3,3,2,2,3,3,3,3,3,3,3,3,2,51,1,4
2,2,4,2,4,2,2,2,2,1,1,1,3,5,1,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,2,2,3,2,3,3,2,31,8,5
3,3,3,3,3,3,4,4,4,4,4,3,3,2,3,3,4,3,3,3,2,3,4,3,3,5,5,5,5,5,4,4,4,4,2,4,2,25,1,5
4,3,2,3,2,3,,4,3,4,4,4,3,2,3,3,3,3,3,4,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,1,53,19,2
4,4,3,4,2,4,3,4,3,3,4,3,2,4,2,2,,3,3,2,4,2,2,4,3,3,3,2,3,2,3,3,2,2,3,3,2,41,26,1
2,2,4,2,5,,3,2,2,2,2,2,1,,1,1,1,4,4,4,2,4,4,2,4,4,4,4,5,4,1,2,1,1,5,1,2,32,12,1
2,3,4,2,4,3,4,4,4,5,4,4,,2,4,3,4,4,4,4,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,45,9,4
3,4,2,4,2,4,4,4,4,4,5,4,2,4,,3,2,4,4,4,2,4,4,2,3,2,2,2,2,2,3,3,3,4,3,3,2,48,22,3
3,2,4,,3,2,4,4,4,4,4,3,3,3,3,4,3,3,4,4,2,4,4,3,4,4,4,4,4,4,3,4,3,3,2,,2,52,11,3
3,,3,2,4,3,3,3,3,3,3,3,2,4,3,2,2,4,4,5,2,4,5,2,4,4,5,4,4,4,3,3,2,2,3,3,2,31,6,4
5,5,1,5,2,5,4,4,4,4,4,3,3,3,3,2,3,2,2,2,4,1,2,4,2,1,2,2,2,1,4,4,5,4,3,4,1,20,11,3
3,3,3,3,3,4,4,4,,3,4,4,4,2,3,4,4,3,3,3,3,3,3,3,4,3,3,,3,3,2,3,2,3,3,2,1,45,27,2
3,2,4,2,3,3,3,3,3,2,3,3,2,4,2,2,3,2,3,4,3,3,3,3,4,5,5,5,5,5,3,3,2,3,3,2,1,49,13,3
5,5,2,5,1,5,4,4,4,4,4,4,4,2,5,4,4,5,5,3,2,4,4,2,4,1,1,1,1,2,3,3,3,4,3,3,1,38,3,1
3,4,2,3,3,3,5,5,5,5,4,5,4,1,4,5,5,4,4,5,2,5,4,1,4,4,4,4,4,4,4,3,3,3,3,4,2,49,20,2
5,4,1,5,2,5,4,5,5,5,4,4,4,2,5,5,4,3,3,5,3,4,3,3,4,4,5,5,5,5,5,5,5,5,1,5,2,55,8,3
3,3,3,3,3,3,2,2,3,2,1,2,2,3,2,2,2,4,4,4,2,3,3,2,3,4,5,4,5,4,4,4,4,4,2,4,1,38,2,4
4,3,2,4,2,4,4,3,4,4,3,3,3,3,3,3,3,2,2,2,4,2,2,2,2,3,3,3,3,3,4,3,2,3,3,3,2,53,15,2
2,3,4,3,3,3,1,1,1,1,1,,1,5,2,1,2,5,5,5,1,5,5,2,5,3,3,2,3,3,1,2,1,1,4,2,2,37,2,4
3,2,3,2,3,4,3,4,3,3,3,3,3,3,3,3,2,4,4,4,3,4,4,3,4,2,2,3,3,2,3,3,3,3,3,3,1,39,4,2
1,2,4,,4,1,1,1,1,1,2,1,2,4,2,3,2,3,3,4,3,2,3,3,4,3,3,3,3,3,1,1,2,1,5,1,1,40,2,1
2,3,,3,3,3,3,3,3,3,2,3,3,3,3,3,3,4,3,3,2,3,3,3,3,4,4,4,4,4,3,3,3,2,4,2,2,53,12,5
4,3,3,4,3,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,4,2,2,4,3,3,3,4,3,3,,1,1,1,5,1,2,46,10,2
4,4,2,4,2,4,2,2,3,2,3,2,4,3,,4,3,5,4,4,1,4,5,1,4,3,4,3,4,4,1,1,1,2,5,1,1,29,20,4
2,2,4,2,3,3,2,2,2,2,1,2,2,5,1,2,2,5,5,5,1,5,5,1,5,3,4,3,3,3,1,1,1,1,5,1,2,44,11,5
,5,1,5,1,5,,4,4,4,4,4,4,2,4,4,4,2,3,2,3,2,2,4,2,4,4,3,4,4,4,4,3,3,3,4,2,43,28,4
4,4,2,4,2,4,4,4,5,4,4,,4,2,3,4,4,4,5,4,2,4,5,2,4,3,2,3,3,3,5,4,4,4,2,4,1,30,23,1
5,5,3,4,2,4,5,4,5,4,4,5,5,1,4,5,5,3,2,2,4,3,3,4,2,3,3,3,3,4,5,5,4,5,1,5,1,24,4,1
4,5,2,5,2,4,4,5,4,4,4,4,4,2,4,4,4,3,3,3,3,3,4,3,3,2,2,2,2,2,4,4,4,5,1,4,1,21,21,2
5,5,1,5,1,5,4,4,4,4,4,4,3,4,3,2,2,4,3,3,3,3,3,3,3,2,3,3,2,2,4,4,5,5,1,5,2,33,11,1
4,4,2,3,2,3,3,3,3,3,3,2,1,4,2,2,2,3,3,3,3,3,4,3,3,2,2,3,3,2,4,3,3,3,2,3,1,50,14,3
1,1,5,1,5,1,1,2,1,1,1,1,1,5,1,1,1,5,5,5,1,5,5,1,5,4,4,4,4,5,2,2,2,2,4,1,1,44,23,4
2,2,4,2,4,1,3,2,2,2,2,2,3,2,3,4,4,3,3,2,2,3,3,3,3,4,,4,4,4,2,1,2,2,5,2,2,24,5,2
3,3,3,3,4,3,3,3,2,2,2,3,,5,1,1,1,3,2,2,4,2,3,4,3,3,3,4,3,3,3,3,3,3,3,3,2,25,18,1
3,4,3,3,4,3,4,4,4,5,4,4,2,3,3,2,3,2,3,2,4,3,3,4,2,1,1,1,1,1,4,5,4,4,1,4,1,37,27,5
4,4,2,4,2,4,4,4,4,3,,4,4,1,5,5,5,4,3,3,3,4,3,3,3,2,3,3,3,2,4,4,5,4,2,4,2,28,12,4
5,5,2,5,1,5,5,5,5,5,5,5,2,4,2,2,3,3,2,2,4,3,3,4,2,3,4,4,4,4,3,3,3,3,3,3,1,38,11,4
2,3,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,2,3,3,3,4,4,3,4,3,3,2,3,,3,3,2,1,22,29,2
5,4,1,5,1,4,,3,3,3,3,2,2,3,3,3,2,3,3,2,4,2,2,4,2,4,3,4,4,4,3,3,4,4,2,,1,36,18,3
3,3,3,3,3,2,4,3,4,4,4,3,3,3,3,4,4,3,4,,3,4,3,3,3,3,3,4,4,3,4,4,4,4,2,4,1,34,16,5
4,4,3,4,2,4,4,4,3,4,4,4,3,3,3,3,3,5,4,4,2,5,4,1,4,2,3,3,3,3,4,4,4,4,2,4,1,48,22,5
4,2,2,4,3,4,2,2,2,3,3,2,2,5,2,3,3,3,,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,2,3,1,51,3,5
3,4,3,4,3,4,3,3,3,,3,3,3,2,4,3,,4,4,4,2,4,5,2,4,4,5,,4,5,2,2,3,4,3,3,1,36,24,4
1,1,4,,5,2,1,1,1,2,2,1,1,5,1,1,1,5,5,5,1,4,5,2,5,4,3,3,3,4,2,2,2,3,4,2,2,50,24,2
2,2,4,3,3,3,4,4,5,5,4,5,3,4,3,2,3,3,2,2,3,2,2,5,2,1,1,1,1,1,4,4,4,4,2,4,1,44,19,3
5,4,1,5,1,5,4,5,5,4,5,4,3,3,3,3,3,3,2,2,4,2,2,4,2,3,2,2,2,3,4,4,4,4,1,5,2,41,24,2
2,2,4,2,3,2,2,3,,2,3,3,3,4,2,1,2,5,5,5,,5,5,1,5,5,5,5,5,5,3,3,3,3,3,3,1,48,11,5
3,3,2,4,2,4,5,5,5,5,5,5,4,3,3,3,3,2,2,3,4,2,1,4,2,2,2,2,3,3,4,4,5,4,2,4,1,27,23,1
3,2,4,1,4,1,2,2,2,2,2,2,1,4,2,2,2,5,4,5,1,5,5,1,5,4,4,4,4,4,2,2,3,3,4,3,2,35,30,3
3,3,3,3,3,3,3,4,4,4,4,4,2,4,2,3,2,5,4,4,1,5,4,1,4,3,4,4,4,4,2,3,3,3,3,3,2,28,27,2
3,2,3,3,4,2,3,3,3,2,3,3,3,3,3,3,4,4,4,5,2,4,4,2,5,4,4,4,5,4,3,2,2,2,3,3,1,38,6,2
4,4,2,4,2,3,2,2,2,1,2,2,2,4,3,2,2,5,4,5,1,5,5,1,5,2,2,3,2,3,4,3,4,4,2,4,2,29,29,1
2,2,4,2,3,3,3,3,3,3,3,3,1,5,2,1,2,2,3,2,3,2,3,4,3,3,4,4,5,4,3,2,3,3,3,3,2,30,16,5
2,2,4,3,5,,3,3,3,3,2,2,4,3,3,3,3,4,5,4,1,5,5,2,5,4,4,3,3,4,1,1,2,1,5,1,2,34,3,5
2,2,3,2,5,2,2,3,3,3,3,3,4,2,4,4,4,5,5,5,1,4,5,1,5,3,3,3,,,2,3,3,2,4,2,1,36,16,4
1,1,5,1,5,1,2,2,2,3,2,2,2,4,2,2,2,4,5,5,1,,5,1,5,4,4,5,4,4,2,2,,2,5,2,1,21,2,3
3,4,1,5,2,4,4,3,2,3,3,3,2,4,2,2,2,4,4,4,2,4,3,3,4,4,4,4,4,4,3,2,3,2,4,2,1,44,10,1
5,5,2,4,1,5,5,5,5,5,5,5,5,1,5,5,5,4,3,4,3,4,4,2,4,3,4,3,4,4,4,,4,3,2,4,1,45,12,3
4,4,3,3,3,3,2,3,3,3,2,3,5,1,3,4,4,5,5,5,1,5,5,1,5,5,5,5,5,5,3,3,3,3,3,3,1,32,2,3
4,4,2,3,3,5,2,3,2,3,2,3,1,4,2,1,1,5,5,5,1,5,5,1,5,3,3,2,3,2,1,1,1,1,5,1,1,45,30,4
2,2,4,1,4,2,2,3,3,3,2,3,2,4,2,,2,2,2,2,4,2,2,4,2,5,5,5,5,5,3,3,3,4,3,3,2,44,29,5
3,4,2,4,2,4,4,4,4,4,4,4,3,2,3,2,2,4,4,4,2,4,4,2,4,5,5,5,5,5,3,2,3,3,2,3,1,47,20,2
5,4,2,4,2,5,5,5,5,5,5,5,,1,5,5,5,3,4,4,2,4,3,2,3,3,3,3,3,3,,4,5,4,2,4,2,28,18,5
4,4,2,4,1,4,4,4,4,4,4,4,3,,3,2,2,4,4,4,2,4,4,2,4,3,3,2,3,3,4,3,3,3,3,4,2,47,6,1
3,3,2,3,3,4,1,1,2,1,1,1,4,3,4,4,4,2,2,2,3,2,2,4,2,3,2,2,2,2,4,4,4,4,2,4,1,33,13,3
5,5,1,5,1,5,5,5,5,5,5,5,4,2,3,3,3,5,5,5,1,5,5,1,5,4,4,4,4,4,4,4,3,4,3,4,2,23,2,5
4,3,3,4,3,4,1,2,2,2,2,1,3,3,3,3,2,2,2,2,4,2,2,4,2,5,4,5,5,5,3,3,3,3,3,4,1,40,15,2
4,4,2,,2,4,4,4,5,4,,5,4,2,,4,5,2,2,2,4,3,2,3,2,5,5,5,5,5,5,5,4,4,1,4,1,48,5,5
3,4,2,,3,3,5,5,4,5,4,4,4,2,3,3,3,2,2,1,4,2,3,4,3,2,3,3,2,3,3,4,3,3,3,4,1,45,19,1
5,,1,5,1,5,4,5,4,4,4,4,5,1,,4,5,1,1,1,5,1,1,4,2,2,2,2,1,1,5,5,5,5,1,5,1,38,1,1
2,3,3,2,3,2,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,2,3,4,2,3,4,3,3,,3,2,3,3,3,3,2,52,15,5
1,2,4,1,4,1,2,2,2,2,2,3,3,3,3,3,3,2,3,3,,3,3,2,3,3,4,4,,4,4,4,3,3,3,4,1,36,5,3
3,3,3,3,3,3,2,2,1,2,2,2,3,3,3,3,3,4,4,4,3,4,3,2,4,3,4,3,3,3,3,2,3,2,3,2,2,46,19,1
4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,5,1,5,5,2,5,5,5,5,5,4,5,5,,5,1,4,1,32,3,1
4,4,2,4,1,4,2,3,3,3,2,2,3,3,3,3,3,4,4,4,2,4,5,2,4,5,3,4,4,3,2,2,2,3,3,3,1,54,26,2
4,4,2,4,2,4,3,4,3,4,4,4,5,1,5,5,5,3,3,3,4,3,3,3,3,2,3,2,3,3,2,2,3,2,3,2,2,50,17,1
2,2,3,2,3,2,4,4,4,3,3,4,3,3,3,3,4,3,3,2,4,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,1,33,29,3
4,3,3,4,2,4,2,3,3,3,3,2,3,4,,2,3,2,2,2,5,2,2,4,1,3,4,4,3,3,3,3,3,3,3,3,2,46,4,1
2,3,,3,3,3,3,3,3,3,4,3,1,5,1,1,1,4,4,4,2,4,3,3,4,4,4,3,5,4,3,2,3,3,4,3,2,37,19,5
2,3,5,3,4,3,1,2,2,2,2,1,2,4,1,2,2,3,3,4,3,4,4,2,3,4,,5,5,5,1,1,1,1,5,1,2,42,14,4
4,3,2,4,1,4,5,5,5,5,5,5,4,1,4,4,4,2,2,2,5,2,2,5,2,1,1,1,1,1,5,4,4,5,2,4,1,51,8,2
2,4,3,3,3,3,2,2,3,2,,2,4,3,3,3,3,4,5,5,2,5,5,2,5,4,3,4,4,4,3,2,2,2,4,2,1,36,26,4
2,2,3,2,4,2,2,2,3,3,3,2,2,4,2,2,2,,3,3,3,4,3,2,3,5,5,5,5,5,2,2,2,3,4,2,1,42,26,5
2,3,3,2,3,3,4,4,4,4,4,4,1,5,2,1,2,2,2,1,4,2,2,4,2,1,2,2,1,1,4,4,3,3,2,3,1,35,19,2
2,2,4,2,4,2,1,2,3,2,1,2,2,4,2,3,2,4,3,5,2,4,4,2,4,4,4,4,5,5,3,4,3,3,4,3,1,23,27,4
3,3,3,3,4,3,1,1,1,1,2,1,4,3,3,3,3,4,4,5,2,4,5,2,5,4,5,5,5,5,1,1,1,1,5,2,1,35,23,2
5,4,2,5,1,5,3,4,3,4,4,3,3,3,3,2,2,4,4,4,1,5,5,1,4,4,5,4,4,5,2,2,2,3,5,2,2,52,14,4
4,4,2,3,2,3,3,4,,4,3,4,4,1,5,4,5,3,3,4,2,4,4,2,4,3,4,3,3,3,5,5,5,4,1,5,2,40,10,4
3,3,4,3,3,2,3,4,3,3,4,3,1,4,3,2,1,3,3,3,4,3,4,3,3,4,4,3,3,,2,1,1,1,5,1,2,44,8,1
4,3,2,3,3,4,3,3,3,3,3,4,3,4,3,2,2,5,4,5,1,5,5,2,4,5,5,5,5,5,4,3,3,4,3,3,2,46,4,3
2,2,4,2,3,2,3,3,3,3,,3,4,2,5,4,4,5,4,4,2,4,4,1,5,3,3,3,3,3,1,1,1,2,5,1,1,37,30,1
3,4,2,4,2,3,3,3,4,3,4,2,2,4,3,2,2,3,3,3,3,2,3,3,3,4,4,3,4,4,4,4,3,4,3,4,2,28,18,2
4,4,2,4,1,4,4,4,3,4,4,,1,4,1,1,2,3,3,2,4,,3,3,2,3,3,3,4,3,3,3,4,3,3,3,2,29,30,1
4,4,2,4,2,4,3,3,4,4,3,4,2,4,1,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,4,3,4,4,2,3,1,30,5,3
3,3,3,3,2,3,1,2,2,2,2,2,3,3,3,3,2,3,2,2,3,2,2,3,2,5,5,5,5,5,3,3,3,3,3,3,2,29,24,3
4,4,3,3,2,3,,4,3,3,4,3,2,4,1,2,2,2,2,2,3,3,2,4,3,5,5,5,5,4,,3,3,4,2,4,1,52,23,5
4,3,2,4,3,4,4,4,3,,4,4,3,3,2,4,3,2,3,2,3,3,3,4,2,4,4,4,,4,4,4,3,4,2,3,2,43,12,1
2,,5,2,4,1,3,4,3,3,3,3,3,4,1,,3,4,3,3,3,3,3,2,3,4,5,4,4,4,4,4,3,4,3,3,2,26,25,1
3,2,3,3,4,3,1,1,1,1,1,1,1,5,1,1,1,4,3,4,,4,3,3,3,2,3,3,3,3,2,2,3,2,4,3,1,48,22,2
4,4,2,4,2,4,3,3,2,3,2,3,4,2,4,3,4,5,4,5,2,4,4,2,5,4,3,3,3,2,3,3,3,3,4,3,1,21,24,2
3,4,3,4,2,4,1,2,2,1,2,1,2,4,2,2,2,4,4,4,1,5,4,2,5,3,3,3,3,2,2,2,3,2,4,2,2,55,23,3
4,5,2,4,2,4,3,2,2,2,2,2,3,3,3,3,3,3,4,4,2,4,3,3,3,3,2,3,2,3,1,2,2,2,5,1,2,22,18,3
1,1,5,1,5,1,1,1,1,1,1,1,1,4,1,2,1,5,5,5,1,5,5,1,5,4,,5,5,5,2,2,1,3,4,,1,31,9,3
3,2,3,3,3,3,4,3,4,4,4,4,3,4,2,2,3,3,3,3,3,3,3,3,4,1,2,2,2,1,3,3,3,3,3,3,1,51,23,2
1,2,4,2,4,2,3,3,,3,3,3,4,3,4,3,3,5,5,5,1,5,5,1,5,5,5,5,4,4,1,1,1,1,4,1,2,43,1,5
4,4,2,4,2,4,4,4,4,3,4,4,4,2,4,4,4,2,2,2,4,2,2,5,2,4,3,3,3,3,5,5,5,4,2,4,2,45,28,2
4,4,2,4,2,5,3,4,3,3,3,3,3,3,,3,3,3,3,3,3,4,3,2,4,2,3,2,2,3,,,5,4,1,4,1,24,3,5
3,3,3,3,3,3,4,4,4,4,4,4,,3,3,2,3,3,3,3,2,3,2,3,4,2,3,2,2,2,3,4,4,3,,4,1,48,6,1
2,3,3,3,4,3,4,4,4,4,4,4,4,2,5,5,4,3,3,2,4,3,2,4,2,2,2,2,2,2,3,3,3,3,3,3,2,46,24,1
3,4,3,4,2,3,4,4,4,4,4,4,4,1,4,4,4,3,3,3,4,3,3,3,3,3,3,3,3,,,4,4,3,3,4,1,46,29,3
