au1,au2,au3,au4,im1,im2,im3,im4,im5,ib1,ib2,ib3,ib4,ib5,ib6,tl1,tl2,tl3,tl4,tl5,tl6,ps1,ps2,ps3,ps4,ps5,gender,age,tenure,group_id,team_size
2,2,2,3,4,4,2,4,4,3,3,2,3,2,3,5,5,5,5,5,5,5,5,5,5,5,1,26,6,5,12
2,2,3,3,4,4,2,4,5,4,4,3,3,4,3,5,5,4,5,5,5,5,5,4,5,5,2,41,9,5,12
3,4,4,4,4,5,1,5,5,4,4,4,4,4,4,5,5,5,4,5,5,5,5,,5,5,1,48,2,5,12
5,5,5,5,5,,1,5,5,3,3,3,4,4,3,5,5,5,5,5,5,5,5,4,5,5,1,27,9,5,12
4,4,4,4,5,5,1,5,5,4,3,3,3,4,3,5,4,5,4,3,4,2,2,2,2,1,1,28,11,6,8
3,3,3,2,3,3,3,3,3,1,2,2,2,2,2,4,4,5,4,3,4,3,2,3,2,2,1,25,1,6,8
3,3,3,2,2,3,4,3,3,2,2,2,3,2,2,4,3,5,4,4,4,1,1,2,3,2,2,42,15,6,8
2,3,3,3,4,4,2,4,4,1,2,2,2,2,2,4,3,5,4,3,4,2,2,2,1,2,1,51,6,6,8
3,2,3,3,3,3,3,3,3,2,3,2,2,2,2,4,3,5,4,3,4,2,2,2,2,2,1,28,1,6,8
3,2,3,2,,3,3,3,3,2,2,2,2,3,2,4,4,5,5,3,5,2,2,2,,2,2,27,8,6,8
1,2,2,,2,2,5,2,2,1,,1,1,1,1,4,4,5,4,4,4,2,2,2,2,2,2,49,5,6,8
4,3,4,3,4,4,2,3,4,2,1,2,1,1,1,4,3,5,4,4,4,,2,2,2,1,1,49,1,6,8
5,5,5,4,4,5,2,4,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,1,26,9,7,9
5,4,3,3,3,4,3,3,3,3,3,4,4,3,4,4,5,4,4,4,4,4,4,5,4,5,1,46,15,7,9
4,4,4,3,4,3,3,4,4,3,3,3,3,3,4,5,4,4,4,4,4,3,4,5,4,5,1,38,12,7,9
4,5,5,4,4,5,1,4,5,3,3,3,3,3,3,5,4,4,4,4,3,4,4,5,4,5,2,29,12,7,9
3,3,2,3,2,3,3,3,3,2,2,2,2,2,2,5,4,4,4,4,4,4,4,5,4,5,2,53,15,7,9
3,3,3,3,4,4,2,4,4,4,3,4,4,4,4,5,4,5,4,4,4,4,3,5,5,5,1,27,3,7,9
4,4,4,4,4,4,2,4,4,4,4,4,4,4,3,5,4,4,5,4,4,4,4,5,4,5,2,35,8,7,9
3,3,4,4,,4,2,4,4,3,3,3,3,4,3,5,3,4,4,4,4,4,4,5,3,5,1,43,1,7,9
4,4,4,4,4,4,2,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,5,4,5,2,49,10,7,9
3,3,3,3,4,4,2,5,4,3,3,3,3,3,3,4,4,4,3,4,4,4,4,5,4,4,2,39,6,8,8
3,2,3,3,3,2,3,2,3,1,2,2,2,2,2,4,5,4,4,4,4,4,4,5,5,5,1,33,2,8,8
4,4,4,4,5,5,2,4,5,4,4,3,3,4,4,4,4,4,4,4,4,3,4,5,3,3,2,53,11,8,8
4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,5,4,5,4,4,4,4,4,5,5,4,1,31,14,8,8
3,3,3,3,5,5,2,4,4,4,3,3,2,3,3,3,4,4,4,3,4,4,4,5,4,4,2,48,5,8,8
3,3,3,3,3,4,2,3,3,3,4,4,3,3,3,4,4,4,4,5,4,4,4,5,4,3,1,31,3,8,8
4,4,,4,3,3,3,4,3,3,2,2,3,3,2,4,4,4,4,4,4,4,5,5,4,4,2,29,8,8,8
5,4,4,4,5,4,1,5,5,3,3,3,3,3,4,4,3,5,4,3,4,5,4,5,4,4,1,50,14,8,8
4,4,4,5,4,4,2,5,4,3,3,3,3,2,3,5,5,4,4,4,3,5,5,5,5,5,1,26,8,9,12
5,4,5,4,3,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,,5,5,1,32,11,9,12
3,2,2,2,3,3,3,3,3,4,3,3,4,4,4,,3,5,4,4,3,5,5,5,5,5,1,27,8,9,12
3,3,3,4,4,4,2,5,4,3,3,3,3,3,4,4,4,3,4,4,4,5,5,5,5,5,2,48,14,9,12
4,5,5,4,4,3,2,4,4,3,3,3,2,2,3,4,3,4,4,4,4,5,5,5,5,5,2,42,2,9,12
3,3,3,3,4,4,3,3,3,3,2,3,3,2,3,4,4,4,3,4,4,5,5,5,5,5,2,40,11,9,12
3,3,3,3,4,4,2,5,4,4,4,4,4,4,3,4,4,5,4,4,4,5,5,5,4,5,2,27,4,9,12
2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,4,5,4,4,4,4,5,5,5,5,5,1,53,14,9,12
4,3,3,3,4,4,2,4,4,4,3,4,4,4,4,4,5,4,4,4,4,5,4,5,4,5,2,52,12,9,12
4,4,4,4,3,3,3,4,3,3,3,2,3,2,3,5,4,4,4,4,4,5,5,5,5,5,2,50,10,9,12
3,4,4,4,3,4,2,4,4,3,3,3,3,4,3,4,4,4,4,3,,5,4,5,4,5,2,51,11,9,12
5,5,5,5,4,4,1,4,5,4,4,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,1,42,12,9,12
2,2,3,3,4,4,2,4,4,3,3,3,3,3,3,5,5,5,5,5,5,4,4,3,4,4,2,54,13,10,11
3,3,3,3,5,4,2,3,4,3,3,3,3,3,3,5,5,5,5,5,5,4,4,3,4,4,1,52,7,10,11
3,3,3,3,4,3,1,4,4,5,4,4,4,4,4,5,5,5,5,5,5,4,5,3,5,4,2,36,2,10,11
5,5,5,5,5,5,2,5,5,3,3,3,3,3,3,5,5,5,5,5,5,4,4,3,4,4,2,38,3,10,11
4,3,3,3,2,4,3,3,3,3,4,3,3,3,2,5,4,5,4,5,5,4,5,,4,4,1,42,14,10,11
4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,5,5,5,5,5,5,4,4,3,4,4,2,42,15,10,11
4,4,3,,4,4,2,3,4,2,2,2,3,3,2,5,5,5,5,5,5,4,4,3,5,5,1,29,4,10,11
3,3,3,3,4,4,3,3,3,2,2,2,2,3,2,5,5,5,4,5,5,4,4,3,4,4,2,35,10,10,11
3,2,3,3,4,4,,5,5,4,4,4,3,3,4,5,5,5,,5,5,4,4,4,4,3,2,47,2,10,11
4,4,5,5,4,4,2,4,4,3,3,3,3,3,3,4,5,5,5,5,5,4,4,3,4,,1,36,1,10,11
4,5,4,4,5,5,1,5,5,4,4,4,4,4,4,5,5,4,4,5,5,3,4,3,4,4,1,45,3,10,11
4,2,4,3,4,3,2,4,,3,3,3,4,4,3,5,,5,5,4,4,5,5,4,5,4,2,48,9,11,12
4,4,4,4,5,5,2,5,5,5,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,1,30,6,11,12
3,3,3,3,5,5,1,5,5,4,4,4,4,4,4,5,5,5,,5,5,5,5,5,5,5,2,50,11,11,12
3,4,4,3,4,4,3,3,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,2,45,6,11,12
3,3,3,4,4,5,,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,2,48,6,11,12
3,3,4,4,4,4,2,4,,3,4,4,4,3,4,5,5,5,4,5,5,5,5,5,5,5,2,39,3,11,12
4,4,4,4,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,50,15,11,12
4,4,4,4,3,3,2,3,4,4,3,3,3,3,3,5,5,5,5,5,5,5,5,4,5,5,2,51,7,11,12
3,3,4,3,,4,2,5,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,1,48,1,11,12
3,5,4,4,5,5,1,5,5,5,4,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,1,34,11,11,12
5,5,5,5,5,5,1,,5,5,4,4,4,5,4,5,5,5,5,5,5,4,5,5,5,5,2,33,9,11,12
4,4,3,4,4,4,2,3,,4,4,4,3,4,4,4,5,5,5,5,5,,5,5,5,5,2,32,2,11,12
2,2,2,2,2,3,3,3,2,2,2,2,1,1,2,2,1,,2,2,2,3,3,4,3,3,1,42,14,12,8
2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,4,3,3,1,47,7,12,8
3,3,3,3,3,2,4,3,3,2,2,3,,2,2,2,2,2,2,3,2,,3,4,3,3,1,39,4,12,8
3,3,4,5,5,3,3,4,3,2,3,2,2,3,2,3,2,2,2,3,2,2,3,4,4,3,2,47,1,12,8
4,3,4,3,5,4,2,4,4,3,3,3,3,3,4,2,2,3,2,1,2,3,3,4,3,4,2,31,14,12,8
2,2,1,2,3,2,4,3,2,2,2,1,1,1,2,3,2,2,2,2,2,3,3,4,3,3,1,41,8,12,8
3,3,3,4,3,3,3,3,4,3,3,3,2,2,3,3,2,2,2,1,3,3,3,,3,2,2,29,14,12,8
4,4,4,,3,3,3,3,3,2,2,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,1,35,4,12,8
5,4,5,4,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,1,37,2,13,8
4,3,4,4,4,3,2,3,3,2,2,2,2,2,2,3,3,3,2,3,3,4,4,4,4,5,1,53,11,13,8
2,2,3,3,4,4,2,4,5,,2,3,2,2,3,3,3,3,2,2,3,4,4,4,5,4,2,34,13,13,8
3,3,3,4,4,4,2,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4,4,4,4,4,2,33,11,13,8
3,4,3,4,5,5,1,5,5,3,,4,4,,4,2,3,3,2,3,3,4,5,4,4,4,1,32,7,13,8
3,3,3,3,3,4,2,4,4,3,3,4,4,4,4,3,3,3,4,3,3,,4,4,4,4,2,30,6,13,8
3,2,2,2,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1,33,9,13,8
2,3,2,2,4,4,2,3,4,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,1,37,3,13,8
5,4,3,4,4,5,1,5,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,1,47,14,14,8
3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,5,4,3,3,5,4,5,5,5,5,2,27,4,14,8
3,3,3,3,4,4,2,4,,,2,3,3,3,3,4,4,5,4,4,4,5,5,5,5,4,1,49,2,14,8
5,5,5,5,4,4,2,4,4,3,4,3,4,3,3,4,5,4,3,4,4,5,4,5,5,5,1,45,2,14,8
5,5,5,5,4,4,2,4,4,4,3,3,4,3,3,4,4,3,4,4,4,5,5,5,5,5,1,53,8,14,8
4,3,4,3,4,4,2,4,3,4,4,,4,4,3,4,4,4,4,4,4,5,5,5,5,5,2,50,13,14,8
3,3,3,3,4,,3,3,3,2,2,2,2,2,2,5,4,4,5,4,4,5,5,5,4,5,1,35,1,14,8
4,3,4,3,4,3,2,3,,4,4,3,3,3,3,4,4,3,4,4,4,5,5,5,5,5,1,47,10,14,8
3,4,4,4,4,5,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,35,2,15,8
3,3,2,3,2,3,4,3,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,2,26,13,15,8
3,3,3,3,3,4,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,40,7,15,8
3,3,3,2,4,3,3,2,3,2,2,2,3,3,2,5,4,5,5,5,4,5,5,5,5,5,2,45,13,15,8
3,4,3,3,4,4,2,4,5,5,4,5,4,4,4,5,5,5,5,5,5,5,4,5,5,5,2,54,6,15,8
1,1,2,2,3,3,4,2,3,2,2,2,2,3,2,5,5,5,5,5,5,5,5,5,4,5,1,38,8,15,8
2,3,2,3,4,3,1,4,4,4,4,4,3,4,3,5,5,5,5,5,5,4,5,5,5,5,1,43,2,15,8
5,4,4,5,4,4,2,5,5,4,3,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,1,53,1,15,8
5,5,4,4,4,3,2,4,4,2,2,3,3,3,3,2,2,4,3,3,3,3,3,3,3,3,2,41,6,16,9
4,3,3,4,4,3,2,4,3,2,1,1,1,1,2,4,3,4,3,3,3,2,3,3,3,3,1,41,14,16,9
2,2,2,2,4,3,2,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,27,11,16,9
3,,4,4,,4,2,4,5,3,3,3,3,3,3,4,3,4,2,3,3,3,3,3,3,3,2,27,9,16,9
3,3,3,3,3,3,2,3,4,2,3,2,2,2,2,2,3,4,4,3,3,3,4,3,3,2,1,26,6,16,9
3,3,,3,3,2,3,2,3,1,1,2,1,1,1,3,3,4,3,3,3,3,3,3,3,3,1,28,7,16,9
1,2,2,2,4,4,2,4,4,3,4,4,3,3,3,,3,3,3,3,3,3,3,3,3,3,2,47,9,16,9
1,2,1,1,3,2,4,2,2,2,1,2,1,2,2,3,3,4,3,3,3,3,3,3,3,3,1,38,11,16,9
3,3,4,3,4,4,2,4,3,2,2,3,3,2,2,3,3,4,3,3,3,3,3,3,3,3,2,33,9,16,9
5,5,5,5,4,5,1,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,1,29,6,17,9
3,2,2,2,,3,2,4,4,3,3,3,3,4,3,5,4,4,4,4,4,5,5,5,5,5,1,49,10,17,9
2,2,2,2,3,3,4,2,3,4,3,4,4,3,3,4,4,4,4,4,5,5,5,5,5,5,2,38,7,17,9
3,3,3,3,3,3,3,3,3,5,4,4,4,4,5,4,4,4,3,4,4,5,5,5,5,5,1,28,15,17,9
3,2,3,4,3,3,3,3,3,2,2,2,2,3,2,4,4,4,4,4,3,5,5,5,5,5,2,34,5,17,9
2,2,3,2,3,2,,4,4,3,3,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,2,53,1,17,9
3,4,4,3,4,4,2,4,4,3,3,3,3,3,3,4,4,4,4,3,4,5,5,5,5,5,2,33,12,17,9
3,3,4,3,4,4,2,4,4,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,2,39,6,17,9
2,2,3,2,3,3,2,4,4,3,3,3,4,4,4,4,4,5,4,4,4,5,5,5,5,5,1,32,15,17,9
3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,2,53,12,18,11
3,3,3,3,3,4,3,3,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,3,2,43,7,18,11
3,2,3,3,3,3,3,3,3,2,2,2,2,1,2,3,4,4,3,3,2,3,3,3,2,4,1,40,2,18,11
2,3,3,3,4,4,2,,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,2,41,12,18,11
3,3,,3,4,4,2,4,4,2,3,2,3,2,3,3,3,2,2,3,3,3,3,3,3,4,2,32,9,18,11
3,3,3,3,4,4,2,4,4,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,4,1,40,2,18,11
4,4,5,4,3,3,2,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,2,3,3,4,2,28,15,18,11
4,3,3,3,3,4,3,3,3,2,2,2,2,2,2,3,3,2,3,3,2,3,3,3,3,3,1,46,7,18,11
3,4,4,3,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,4,1,41,12,18,11
4,4,,4,4,5,1,,,2,2,2,2,2,3,3,2,3,3,3,4,3,3,3,3,4,2,38,11,18,11
2,3,3,3,4,4,2,3,3,3,3,2,2,2,3,3,4,3,3,3,3,3,3,3,3,4,1,25,14,18,11
3,3,3,2,3,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,2,44,9,19,8
2,2,2,2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,2,2,1,3,5,3,4,4,2,50,3,19,8
2,2,2,2,3,1,4,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,4,4,4,3,2,42,14,19,8
5,5,4,4,5,4,2,4,4,2,2,2,2,2,2,1,2,2,3,2,2,3,4,4,4,4,2,47,3,19,8
1,1,2,1,3,2,4,2,2,1,2,2,1,2,1,2,3,3,2,2,2,3,4,4,4,4,1,39,1,19,8
4,4,4,4,4,4,2,5,4,3,4,3,4,3,4,2,2,3,2,2,2,4,4,4,4,4,1,25,4,19,8
4,3,3,3,5,5,2,5,5,2,2,2,2,3,2,2,3,2,2,2,3,3,4,4,4,4,2,32,13,19,8
2,2,3,2,4,4,2,4,4,4,3,3,3,3,3,2,2,2,3,2,2,3,4,4,4,4,1,53,1,19,8
5,4,5,5,3,2,3,2,3,2,2,2,2,2,2,5,4,4,4,4,4,5,4,5,5,4,1,45,1,20,12
2,2,3,3,4,3,2,4,,3,3,3,,3,3,4,4,5,4,3,4,5,5,5,5,5,2,49,7,20,12
4,3,3,3,3,3,2,4,4,3,3,3,3,4,3,4,4,4,,4,4,5,5,5,5,5,2,36,10,20,12
2,3,2,2,2,2,4,3,3,3,,3,4,4,3,4,4,4,4,3,4,5,5,5,5,5,1,50,2,20,12
2,3,2,2,,3,3,3,4,3,3,2,3,3,3,3,4,4,4,4,4,5,5,5,5,5,2,49,13,20,12
4,4,4,4,4,4,2,4,4,3,3,3,3,3,3,4,4,3,4,4,4,5,5,5,5,5,2,25,9,20,12
4,3,4,4,4,4,2,4,4,3,3,4,3,4,3,5,3,4,5,4,4,5,5,5,5,5,1,52,13,20,12
4,4,5,4,4,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,5,5,5,4,4,1,28,9,20,12
5,5,5,5,5,4,1,4,4,4,4,4,4,4,3,4,4,4,4,4,3,5,4,4,5,5,2,33,4,20,12
4,4,4,3,5,5,1,5,5,4,5,5,4,4,4,4,3,4,4,4,4,5,5,5,5,5,2,34,7,20,12
2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,4,4,4,5,4,4,5,5,5,4,5,1,40,4,20,12
2,3,3,,4,3,2,4,3,3,4,4,3,4,4,4,4,3,4,4,4,5,5,5,5,4,1,37,1,20,12
3,3,3,3,4,5,1,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,3,4,4,3,2,37,8,21,10
,2,2,1,4,5,3,3,4,3,3,3,3,3,3,5,4,4,4,4,4,3,2,4,4,3,2,36,1,21,10
3,2,3,,4,5,2,4,4,2,3,2,2,2,3,4,4,4,4,4,4,,4,4,4,3,1,54,9,21,10
,3,3,3,2,3,3,3,3,3,3,3,3,3,3,5,4,4,4,4,4,3,3,4,4,3,2,41,1,21,10
3,4,4,5,4,,1,4,3,2,2,2,2,3,2,5,4,4,4,4,4,3,2,4,4,3,2,31,4,21,10
4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,5,4,5,4,4,5,3,3,4,4,3,1,41,12,21,10
4,4,4,4,5,4,1,4,5,4,4,4,4,4,4,5,3,4,4,4,4,3,3,4,3,3,2,32,7,21,10
4,3,4,3,3,3,2,4,4,1,1,1,1,1,1,5,4,3,3,,4,3,3,4,5,3,1,34,14,21,10
2,2,2,2,4,4,2,4,4,3,4,3,3,3,3,5,3,5,4,3,4,3,3,4,4,3,1,54,13,21,10
3,3,3,4,4,4,2,5,5,4,3,3,3,3,3,4,5,4,4,5,4,3,2,4,5,3,2,27,6,21,10
4,4,4,4,4,4,2,5,5,3,3,3,3,3,4,3,3,2,3,3,3,2,4,3,4,3,1,52,10,22,9
3,2,3,2,2,2,3,3,1,2,2,3,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,26,13,22,9
3,4,3,4,3,4,4,3,3,3,2,3,2,2,2,3,4,2,4,3,3,1,3,3,4,3,2,47,15,22,9
3,3,3,3,4,3,3,4,3,2,2,2,2,3,3,3,3,2,2,3,3,1,3,3,3,3,1,42,7,22,9
3,3,2,3,4,4,3,3,4,3,2,2,2,2,2,3,3,2,4,3,3,2,3,3,3,3,2,54,6,22,9
2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,,3,2,3,2,3,2,3,3,3,3,1,38,3,22,9
4,3,3,3,4,4,2,3,3,2,3,2,3,2,3,3,3,1,4,3,3,2,3,3,3,2,2,53,1,22,9
1,2,2,2,2,2,4,3,2,3,4,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,1,28,12,22,9
2,1,2,2,3,4,2,4,3,3,3,3,2,2,2,3,3,2,3,3,3,2,3,3,4,3,1,38,9,22,9
2,3,3,4,5,5,2,5,5,3,3,3,3,3,4,4,4,5,5,5,5,4,5,4,4,,1,41,12,23,11
4,3,3,3,4,4,2,4,4,3,3,3,3,3,3,5,4,5,5,5,5,4,5,4,4,4,2,46,5,23,11
4,3,3,3,4,4,2,4,4,3,3,3,3,3,3,5,4,5,5,5,5,4,4,4,4,4,2,52,6,23,11
3,3,3,3,4,5,1,4,5,3,3,3,3,3,3,5,3,5,4,5,5,4,5,4,4,4,1,41,1,23,11
5,4,4,4,4,4,2,4,5,4,4,3,3,3,3,5,4,5,5,5,5,4,5,4,4,4,2,37,14,23,11
5,5,5,5,4,5,1,5,5,3,2,3,3,3,3,5,5,5,4,5,5,3,5,4,4,3,2,48,8,23,11
3,4,3,4,3,3,2,3,4,3,2,3,3,3,3,5,4,5,5,5,5,3,5,4,4,4,2,40,9,23,11
2,2,2,2,4,4,2,4,4,3,3,3,4,3,4,5,4,5,5,4,5,4,5,4,4,4,2,44,3,23,11
4,4,4,3,4,4,3,4,4,2,3,3,3,3,3,5,3,5,5,5,4,5,5,4,5,4,1,29,6,23,11
3,3,3,3,4,5,2,3,4,3,3,3,,3,2,5,4,5,5,5,5,,5,4,3,4,1,30,12,23,11
3,3,3,2,4,3,3,4,3,2,2,3,2,2,3,5,3,5,5,5,5,4,5,4,4,3,1,47,4,23,11
5,5,5,4,3,3,3,3,3,1,2,2,1,2,2,1,2,2,2,3,2,3,4,3,3,3,1,49,8,24,12
